match_id,enemies_0,enemies_1,enemies_2,enemies_3,enemies_4,teammates_0,teammates_1,teammates_2,teammates_3,teammates_4,win
NA1_4722294920,266,11,126,115,518,240,200,54,523,555,0
EUW1_6511895458,54,121,145,30,9,266,57,517,523,526,1
KR_6606382248,526,131,101,81,777,58,104,69,523,12,0
EUW1_6511606584,14,121,80,22,10,24,32,238,523,147,1
EUW1_6509065208,126,421,950,30,267,266,131,142,523,40,1
EUW1_6509285642,67,20,112,119,267,166,78,103,523,875,1
EUW1_6512906929,421,77,950,236,267,64,777,517,523,117,1
EUW1_6506258124,164,107,517,236,267,875,203,68,523,497,1
NA1_4720411740,133,30,18,81,267,126,121,101,523,497,1
NA1_4721465506,24,106,69,29,267,420,245,50,523,147,1
NA1_4719721586,34,91,39,22,267,887,141,133,523,40,1
EUW1_6509511737,86,254,202,31,267,41,104,18,523,412,1
EUW1_6513544590,39,57,157,145,267,41,131,80,523,201,0
EUW1_6512959170,24,203,111,101,267,2,102,103,523,40,0
NA1_4721479769,266,203,268,360,267,98,427,84,523,111,1
NA1_4721077203,27,30,91,236,267,58,121,4,523,526,1
KR_6606270987,126,57,18,145,12,79,35,69,523,526,0
KR_6609333678,69,245,18,145,12,35,60,39,523,111,1
EUW1_6511896634,887,121,127,81,12,86,421,101,523,89,0
KR_6609765032,164,113,126,498,12,266,79,1,523,412,0
NA1_4718065528,54,91,7,498,12,24,876,39,523,526,0
KR_6606408908,39,91,112,22,12,897,154,101,523,412,1
KR_6606946794,86,200,134,145,12,24,30,4,523,111,1
EUW1_6509585719,266,104,18,30,12,516,121,134,523,526,1
KR_6605989872,84,121,58,22,12,122,234,134,523,526,0
KR_6607453342,887,203,134,360,12,92,76,777,523,79,1
KR_6608756178,516,78,103,498,12,58,76,18,523,526,1
NA1_4719506977,10,76,157,22,12,126,104,101,523,16,1
KR_6608434338,266,113,8,81,12,114,136,154,523,526,1
NA1_4718443808,54,104,127,21,12,24,131,126,523,101,1
KR_6608905409,150,59,103,145,12,85,57,157,523,497,1
NA1_4719593891,240,234,127,67,12,266,64,4,523,526,1
EUW1_6510261125,78,245,134,145,12,58,421,517,523,89,0
NA1_4720420462,266,57,134,498,12,114,78,518,523,526,1
KR_6606591804,68,78,103,22,12,106,60,1,523,497,1
KR_6605360455,58,64,4,145,12,516,76,950,523,111,0
KR_6608485684,58,131,18,145,12,266,76,517,523,201,1
KR_6605876500,54,64,517,145,12,420,91,69,523,526,0
NA1_4722272486,84,64,131,221,12,24,28,103,523,40,0
EUW1_6507352932,78,203,517,498,12,67,427,101,523,526,0
EUW1_6509503854,113,245,55,145,12,54,104,142,523,25,1
EUW1_6508562728,58,107,127,145,12,133,234,134,523,111,0
KR_6606923050,33,64,61,360,12,266,35,7,523,111,1
KR_6608595375,266,72,268,145,12,92,427,18,523,902,0
EUW1_6509590671,2,28,246,145,12,266,79,80,523,497,0
EUW1_6505732235,24,141,238,21,12,68,104,103,523,111,1
KR_6607635775,23,234,268,145,12,24,517,127,523,111,1
EUW1_6510289255,136,5,91,145,12,82,57,18,523,526,1
KR_6607359418,114,113,777,145,12,41,64,103,523,111,1
NA1_4718634274,58,104,7,145,12,122,234,105,523,526,1
KR_6604949670,164,64,55,110,12,86,4,76,523,497,1
KR_6606507081,897,876,246,145,12,68,203,103,523,412,0
KR_6609008902,114,30,34,145,12,58,427,136,523,555,1
